工作名称,工作地点,工作公司,工作薪资,工作学历,工作标签,工作经验,招聘详情页链接
高级安全研发工程师,北京·海淀区·清河,小米,25-50K,本科,互联网,5-10年,https://www.zhipin.com/gongsi/6f1aa1d6b1d033ad33B43N0~.html
Python开发工程师,北京·朝阳区·望京,数坤网络科技股份...,20-40K·16薪,本科,医疗健康,5-10年,https://www.zhipin.com/gongsi/293548364dd0485f1nxz2dW1FVM~.html
Python 后端开发工程师,北京,北京知道创宇,15-25K,不限,信息安全,经验不限学历,https://www.zhipin.com/gongsi/d272aa0ee2b0eaa41XRz09y1.html
高级Python开发工程师,北京,青藤云安全,20-35K·14薪,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/8de1f130f2c1340d0XZ_2g~~.html
数据服务技术支持专家,北京,今日头条,15-30K,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/a67b361452e384e71XV82N4~.html
Python开发工程师 - 数据分析挖掘与处理,北京·海淀区·五道口,魔门塔科技,26-50K·14薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/a3fff9582538ae7f03J92d27.html
高级Python工程师,北京·朝阳区·立水桥,途游游戏,20-30K·14薪,本科,游戏,5-10年,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
服务端开发,北京·朝阳区·酒仙桥,360集团,20-30K·15薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/825f0be0dd10b3991nZ-3N-8EFQ~.html
Ceph分布式存储研发工程师,北京·朝阳区·太阳宫,BOSS直聘,30-60K·16薪,本科,人力资源服务,3-5年,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
Python高级数据分析工程师,北京·海淀区·学院路,志翔科技,20-40K·14薪,本科,信息安全,5-10年,https://www.zhipin.com/gongsi/e58d095ee7c205131Hd929i1.html
网络研发工程师,北京·海淀区·西北旺,滴滴,30-50K·15薪,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/8548fadc0b5c265403V93t61EQ~~.html
研究院-Python语言与解释器研究员,北京·海淀区·中关村,SenseTime,20-40K·15薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
后端开发工程师,北京·海淀区·中关村,北京字节跳动,20-40K·15薪,本科,移动互联网,1-3年,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
数据分析工程师,北京·海淀区·西北旺,华为技术有限公司,15-25K·14薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
算法工程师,北京·海淀区·上地,百度,20-40K,本科,互联网,经验不限,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
python开发工程师,北京·海淀区·西北旺,中软国际,12-24K,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
后台开发工程师,北京·海淀区·双榆树,腾讯,20-40K·16薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
网络开发工程师(006345),北京·西城区·动物园,奇安信集团,18-35K·14薪,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/2380ed19723177f203d82dy6FA~~.html
软件开发工程师-CDN方向,北京,小米,25-50K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/6f1aa1d6b1d033ad33B43N0~.html
Python开发工程师,北京·海淀区·上地,华为,15-30K·13薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/02cd05cce753437e33V50w~~.html
研发工程师（偏后台研发方向）,北京,北京知道创宇,18-30K,本科,信息安全,经验不限,https://www.zhipin.com/gongsi/d272aa0ee2b0eaa41XRz09y1.html
Golang后台开发工程师,北京·海淀区·双榆树,今日头条,25-50K,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/a67b361452e384e71XV82N4~.html
算法研发工程师-python,北京·海淀区·五道口,魔门塔科技,25-50K·14薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/a3fff9582538ae7f03J92d27.html
后端Python开发主程,北京·朝阳区·奥运村,途游游戏,30-45K,本科,游戏,5-10年,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
云计算开发工程师（计算、存储方向）,北京·朝阳区·酒仙桥,360集团,30-60K·15薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/825f0be0dd10b3991nZ-3N-8EFQ~.html
Python开发工程师,北京·朝阳区·太阳宫,BOSS直聘,25-35K·16薪,本科,人力资源服务,1-3年,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
高级Python工程师,北京·海淀区·学院路,志翔科技,25-40K,本科,信息安全,5-10年,https://www.zhipin.com/gongsi/e58d095ee7c205131Hd929i1.html
地图服务开发工程师,北京·海淀区·回龙观,滴滴,25-50K·15薪,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/8548fadc0b5c265403V93t61EQ~~.html
研究院-数据平台Python开发工程师,北京·海淀区·中关村,SenseTime,20-40K·15薪,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
全栈工程师,北京·海淀区·中关村,北京字节跳动,30-60K·15薪,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
云计算工程师,北京·海淀区·西北旺,华为技术有限公司,20-40K,本科,计算机软件,在校/应届,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
自动驾驶技术部_高精地图web后端全栈工程师,北京,百度,20-40K·14薪,本科,互联网,经验不限,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
POI平台开发工程师（python）,北京,腾讯,30-45K·16薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
Python,北京·海淀区·四季青,奇安信集团,20-35K·14薪,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/2380ed19723177f203d82dy6FA~~.html
高级安全研发工程师,北京·海淀区·清河,小米,25-50K,本科,互联网,5-10年,https://www.zhipin.com/gongsi/6f1aa1d6b1d033ad33B43N0~.html
Python工程师,北京·海淀区·西北旺,中软国际,15-30K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/2d208a8834e4a58203d43Q~~.html
Python,北京,途游游戏,25-30K,硕士,游戏,10年以上,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
Python开发工程师（Openstack）,北京·朝阳区·太阳宫,BOSS直聘,30-60K·16薪,本科,人力资源服务,3-5年,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
Python数据开发工程师,北京·海淀区·花园路,志翔科技,12-24K·14薪,本科,信息安全,1-3年,https://www.zhipin.com/gongsi/e58d095ee7c205131Hd929i1.html
自动驾驶存储系统资深研发工程师,北京·海淀区·西北旺,滴滴,30-50K·15薪,本科,移动互联网,5-10年,https://www.zhipin.com/gongsi/8548fadc0b5c265403V93t61EQ~~.html
python开发工程师（北京/上海）,北京·海淀区·中关村,SenseTime,25-50K·15薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
web后端工程师,北京·海淀区·双榆树,北京字节跳动,20-40K·15薪,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
自动驾驶云平台解决方案全栈开发工程师,北京·海淀区·西北旺,百度,30-50K·16薪,硕士,互联网,3-5年,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
CSIG16-POI平台后台开发工程师,北京·海淀区·西北旺,腾讯,20-40K·16薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
Python研发工程师,北京·西城区·动物园,奇安信集团,18-28K·14薪,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/2380ed19723177f203d82dy6FA~~.html
Python开发工程师-小米电视,北京·海淀区·上地,小米,15-30K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/6f1aa1d6b1d033ad33B43N0~.html
游戏服务端开发,北京·朝阳区·立水桥,途游游戏,20-35K·14薪,本科,游戏,经验不限,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
OpenStack开发工程师,北京,BOSS直聘,25-50K·16薪,本科,人力资源服务,3-5年,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
高级python后端开发工程师,北京·海淀区·学院路,志翔科技,15-30K·15薪,本科,信息安全,3-5年,https://www.zhipin.com/gongsi/e58d095ee7c205131Hd929i1.html
高级数据库开发,北京·海淀区·西北旺,滴滴,30-60K·15薪,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/8548fadc0b5c265403V93t61EQ~~.html
Python开发工程师,北京·海淀区·中关村,北京字节跳动,25-50K,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
云计算工程师,北京·海淀区·西北旺,百度,20-40K·15薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
后台开发高级工程师,北京·海淀区·双榆树,腾讯,25-35K·16薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
资深安全开发工程师,北京·海淀区·中关村,SenseTime,30-60K·15薪,本科,计算机软件,5-10年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
资深python开发工程师,北京·朝阳区·立水桥,途游游戏,20-35K·14薪,本科,游戏,3-5年,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
Openstack 研发工程师,北京·朝阳区·太阳宫,BOSS直聘,30-45K·16薪,本科,人力资源服务,5-10年,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
Python后端高级开发工程师——抖音,北京·海淀区·中关村,北京字节跳动,20-40K·15薪,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/7d01ce6cfe2022030HJ409y-.html
高级开源系统工程效率研发工程师,北京·海淀区·上地,百度,25-50K·16薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
CSIG16-地图数据后台开发工程师,北京,腾讯,30-60K·16薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
高级研发工程师,北京·海淀区·上地,滴滴,20-30K·15薪,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/8548fadc0b5c265403V93t61EQ~~.html
Python开发工程师,北京·海淀区·中关村,SenseTime,25-50K·15薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/479e410ee2aff0d21nx8294~.html
游戏后端开发工程师,北京·朝阳区·立水桥,途游游戏,15-30K·13薪,本科,游戏,3-5年,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
高级python运维开发工程师,北京·朝阳区·太阳宫,BOSS直聘,35-65K·16薪,本科,人力资源服务,3-5年,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
高级后台开发工程师,北京·海淀区·西北旺,腾讯,30-40K·16薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
云计算工程师,北京·海淀区·西北旺,百度,15-30K·15薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
后端开发工程师,北京·朝阳区·立水桥,途游游戏,12-24K,本科,游戏,在校/应届,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
容器云平台开发工程师,北京·朝阳区·太阳宫,BOSS直聘,20-40K·16薪,本科,人力资源服务,3-5年,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
Python开发工程师,北京·海淀区·上地,百度,20-40K·15薪,本科,互联网,1-3年,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
【通途】Python开发工程师,北京·昌平区·南邵,腾讯,15-30K,本科,互联网,1-3年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
服务端开发工程师,北京·朝阳区·立水桥,途游游戏,20-40K·14薪,本科,游戏,1-3年,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
中间件开发工程师,北京·朝阳区·太阳宫,BOSS直聘,25-50K·16薪,本科,人力资源服务,1-3年,https://www.zhipin.com/gongsi/fa2f92669c66eee31Hc~.html
仿真软件开发工程师,北京,百度,20-40K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
后台研发工程师,北京·海淀区·西北旺,腾讯,20-40K·15薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
资深Python开发工程师,北京·朝阳区·奥运村,途游游戏,25-35K·13薪,本科,游戏,3-5年,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
后端开发工程师,北京,百度,20-40K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
游戏服务端开发工程师,北京,途游游戏,15-30K·13薪,本科,游戏,3-5年,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
平台后端研发工程师,北京,百度,20-40K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/ab9fdc6f043679990HY~.html
python高级工程师/技术经理,北京·朝阳区·立水桥,途游游戏,40-60K·13薪,本科,游戏,经验不限,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
python工程师,北京·朝阳区·立水桥,途游游戏,20-30K·13薪,本科,游戏,经验不限,https://www.zhipin.com/gongsi/97bce10e039a3a401HZ62t0~.html
后端开发工程师,上海,达观数据,25-50K·13薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/13398c770ed6d8b61nB60tw~.html
Python开发工程师,上海·长宁区·中山公园,乐言科技,20-40K·15薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/bfb355f61045ec851ndy39S_GFs~.html
python开发工程师,上海·浦东新区·张江,连信,20-40K·16薪,本科,社交网络,3-5年,https://www.zhipin.com/gongsi/4ba9c4944c5a45821nx-3tm6GFs~.html
资深Python后端开发,上海·徐汇区·田林,众言科技,20-40K·13薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/90b0a4e09f41aaa90XZ839i_.html
后端工程师,上海·浦东新区·张江,喜马拉雅,18-30K·15薪,本科,移动互联网,3-5年,https://www.zhipin.com/gongsi/52d69afb8360dfd60nVy39y9Fw~~.html
Python工具开发工程师(LMU2),上海·闵行区·莘庄,中科创达软件,20-26K,大专,计算机软件,5-10年,https://www.zhipin.com/gongsi/05d8611f931b61a41Xd639m_.html
python开发工程师,上海·浦东新区·张江,北京百度网讯有限公司,14-28K,本科,互联网,1-3年,https://www.zhipin.com/gongsi/4fe917620f75cb8a0nN43N20.html
Python开发工程师,上海·长宁区·仙霞,满帮集团,20-40K·14薪,本科,移动互联网,经验不限,https://www.zhipin.com/gongsi/879ccc35345e3c0133172N68GA~~.html
WEB后端工程师,上海·浦东新区·花木,小米,20-40K·15薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/6f1aa1d6b1d033ad33B43N0~.html
资深python工程师（主程）,上海·长宁区·古北,知定堂,20-35K·13薪,本科,广告/公关/会展,5-10年,https://www.zhipin.com/gongsi/ceccbb9767614adf33B-3926GQ~~.html
自动化测试,上海·浦东新区·金桥,软通动力,12-24K,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/c8311034740eee121nVz09S7E1U~.html
web后端,上海·徐汇区·漕河泾,garena,20-30K·15薪,本科,互联网,经验不限,https://www.zhipin.com/gongsi/8fd83d0e0310a4a11HRy2dW4.html
Python,上海,华为技术有限公司,20-40K·14薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/21124e51a5ea83a80nR80ti8.html
python工程效能开发,上海·浦东新区·陆家嘴,蚂蚁胜信,25-50K·13薪,不限,移动互联网,3-5年学历,https://www.zhipin.com/gongsi/e0024af810938dcf03J73d61.html
Sr.Software Engineer软件开发工程师 (全栈,上海·浦东新区·临港,特斯拉 Tesla,15-25K,本科,汽车生产,1-3年,https://www.zhipin.com/gongsi/a3fff2b435110f101Xx40tm7.html
后端开发工程师（软件工程AI技术部）,上海·浦东新区·张江,传音控股,18-35K,本科,通信/网络设备,在校/应届,https://www.zhipin.com/gongsi/3d0b6629203bb0b61nJy3t-0.html
【22届校招】游戏研发工程师,上海·徐汇区·徐家汇,多益网络,12-24K·14薪,不限,互联网,在校/应届学历,https://www.zhipin.com/gongsi/0aed2b8296e46d411HB509U~.html
资深安全研发工程师,上海·徐汇区·漕河泾,白山云科技,25-35K,本科,互联网,3-5年,https://www.zhipin.com/gongsi/61705d9449c8166b33N839w~.html
高级Python开发工程师（DevOps/运维开发向,上海,仙豆智能,20-40K·15薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/bcd650d0aa053bf703B73d2-EQ~~.html
Python,上海·杨浦区·五角场,字节跳动,25-50K·15薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/f409f37f83a6135b0nV_2d25EA~~.html
后台开发工程师,上海·徐汇区·漕河泾,腾讯,30-40K·16薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/2e64a887a110ea9f1nRz.html
资深研发工程师,上海·闵行区·七宝,触宝科技,25-40K·14薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/44da0af64383c7cb1nB929k~.html
Python,上海·浦东新区·陆家嘴,蚂蚁金服,20-40K·16薪,本科,互联网,经验不限,https://www.zhipin.com/gongsi/e9a2427bc19f1b1a33Z_3t0~.html
Python工程师,上海·浦东新区·塘桥,励销云,15-25K·13薪,本科,互联网,3-5年,https://www.zhipin.com/gongsi/0ea8995fe68f2fa71nB62g~~.html
Python开发,上海·浦东新区·陆家嘴,博彦科技,13-23K,大专,计算机软件,3-5年,https://www.zhipin.com/gongsi/e715aa1be4283fc21nd62tq5.html
后台开发工程师,上海·杨浦区·五角场,今日头条,30-50K·15薪,本科,移动互联网,1-3年,https://www.zhipin.com/gongsi/a67b361452e384e71XV82N4~.html
Data & Applied Scientist,上海·闵行区·吴泾,微软中国,35-65K·13薪,本科,计算机软件,经验不限,https://www.zhipin.com/gongsi/0810a0f85e31859b33Zy2tU~.html
服务端开发工程师-Python,上海,东方财富集团,16-22K·16薪,本科,互联网,经验不限,https://www.zhipin.com/gongsi/15549d694fb8dd2a1nV_09m4.html
金融衍生品量化交易系统Python开发工程师,上海·浦东新区·张江,IBM,18-28K·13薪,本科,互联网,5-10年,https://www.zhipin.com/gongsi/80da39592825c7371n192dm0F1M~.html
研发工程师（生信平台）,上海·浦东新区·周浦,懿贝瑞,15-28K,本科,医疗/护理/卫生,经验不限,https://www.zhipin.com/gongsi/b16c929acc5e5dfc1XBy0t29EA~~.html
python工程师（RPA团队）,上海·闵行区·浦江,泛微网络,25-40K·15薪,本科,计算机软件,3-5年,https://www.zhipin.com/gongsi/8d038826246b5fb31nV83d4~.html
python讲师,上海·虹口区·虹口足球场,高顿教育集团,11-22K·13薪,本科,在线教育,1-3年,https://www.zhipin.com/gongsi/d5ee355849eef2d21nR93dq-.html
工具开发工程师（C/Python）,上海·浦东新区·张江,纵目科技,15-23K·15薪,本科,汽车生产,3-5年,https://www.zhipin.com/gongsi/8aa9f7a0e94ad5410nV73dm5.html
